lat,lng,fai,date
-39.22892,-72.01438,0.0,2026-08-22
-39.22892,-72.01096,0.0,2026-08-22
-39.22892,-72.00753,0.0,2026-08-22
-39.22892,-72.00411,0.0,2026-08-22
-39.22892,-72.00068,0.0,2026-08-22
-39.22892,-71.99726,-0.00036,2026-08-22
-39.22892,-71.99384,-0.00212,2026-08-22
-39.23181,-72.18904,-4e-05,2026-08-22
-39.23181,-72.18562,0.0,2026-08-22
-39.23181,-72.18219,0.0,2026-08-22
-39.23181,-72.17877,0.0,2026-08-22
-39.23181,-72.17534,0.0,2026-08-22
-39.23181,-72.17192,0.001,2026-08-22
-39.23181,-72.16849,0.0,2026-08-22
-39.23181,-72.16507,0.0003,2026-08-22
-39.23181,-72.16164,0.0,2026-08-22
-39.23181,-72.15822,0.0,2026-08-22
-39.23181,-72.15479,0.0,2026-08-22
-39.23181,-72.15137,0.0,2026-08-22
-39.23181,-72.14795,0.0004,2026-08-22
-39.23181,-72.14452,0.0,2026-08-22
-39.23181,-72.1411,0.0001,2026-08-22
-39.23181,-72.13767,0.0,2026-08-22
-39.23181,-72.13425,0.0,2026-08-22
-39.23181,-72.13082,0.0,2026-08-22
-39.23181,-72.1274,0.0,2026-08-22
-39.23181,-72.12397,0.00031,2026-08-22
-39.23181,-72.12055,0.0,2026-08-22
-39.23181,-72.11712,0.0,2026-08-22
-39.23181,-72.1137,0.0,2026-08-22
-39.23181,-72.11027,-6e-05,2026-08-22
-39.23181,-72.10685,0.0,2026-08-22
-39.23181,-72.10342,-0.00021,2026-08-22
-39.23181,-72.1,0.0,2026-08-22
-39.23181,-72.09658,0.0,2026-08-22
-39.23181,-72.09315,0.0,2026-08-22
-39.23181,-72.08973,0.0,2026-08-22
-39.23181,-72.0863,0.0,2026-08-22
-39.23181,-72.08288,0.0,2026-08-22
-39.23181,-72.07945,0.0,2026-08-22
-39.23181,-72.07603,0.0,2026-08-22
-39.23181,-72.0726,0.0001,2026-08-22
-39.23181,-72.06918,0.00034,2026-08-22
-39.23181,-72.06575,0.0,2026-08-22
-39.23181,-72.06233,0.0,2026-08-22
-39.23181,-72.0589,0.0,2026-08-22
-39.23181,-72.05548,0.0,2026-08-22
-39.23181,-72.05205,-9e-05,2026-08-22
-39.23181,-72.04863,0.0,2026-08-22
-39.23181,-72.04521,0.0,2026-08-22
-39.23181,-72.04178,-9e-05,2026-08-22
-39.23181,-72.03836,0.0,2026-08-22
-39.23181,-72.03493,0.0,2026-08-22
-39.23181,-72.03151,0.0,2026-08-22
-39.23181,-72.02808,0.0,2026-08-22
-39.23181,-72.02466,0.0,2026-08-22
-39.23181,-72.02123,0.0,2026-08-22
-39.23181,-72.01781,0.0,2026-08-22
-39.23181,-72.01438,0.0,2026-08-22
-39.23181,-72.01096,0.0,2026-08-22
-39.23181,-72.00753,-6e-05,2026-08-22
-39.23181,-72.00411,0.0,2026-08-22
-39.23181,-72.00068,0.0,2026-08-22
-39.23181,-71.99726,0.0,2026-08-22
-39.23181,-71.99384,0.0,2026-08-22
-39.23181,-71.99041,0.0,2026-08-22
-39.23181,-71.98699,0.0,2026-08-22
-39.23181,-71.98356,0.0,2026-08-22
-39.23181,-71.98014,-9e-05,2026-08-22
-39.23181,-71.97671,-6e-05,2026-08-22
-39.23181,-71.97329,0.0,2026-08-22
-39.2347,-72.18904,-0.00013,2026-08-22
-39.2347,-72.18562,0.0,2026-08-22
-39.2347,-72.18219,0.0,2026-08-22
-39.2347,-72.17877,0.0,2026-08-22
-39.2347,-72.17534,0.0,2026-08-22
-39.2347,-72.17192,0.0,2026-08-22
-39.2347,-72.16849,0.0,2026-08-22
-39.2347,-72.16507,0.0002,2026-08-22
-39.2347,-72.16164,0.0,2026-08-22
-39.2347,-72.15822,0.0004,2026-08-22
-39.2347,-72.15479,-2e-05,2026-08-22
-39.2347,-72.15137,0.0,2026-08-22
-39.2347,-72.14795,0.0,2026-08-22
-39.2347,-72.14452,0.0,2026-08-22
-39.2347,-72.1411,0.0,2026-08-22
-39.2347,-72.13767,0.0,2026-08-22
-39.2347,-72.13425,0.0,2026-08-22
-39.2347,-72.13082,-2e-05,2026-08-22
-39.2347,-72.1274,-4e-05,2026-08-22
-39.2347,-72.12397,0.0,2026-08-22
-39.2347,-72.12055,0.0,2026-08-22
-39.2347,-72.11712,0.0,2026-08-22
-39.2347,-72.1137,0.0,2026-08-22
-39.2347,-72.11027,0.0,2026-08-22
-39.2347,-72.10685,0.0,2026-08-22
-39.2347,-72.10342,0.0,2026-08-22
-39.2347,-72.1,0.0,2026-08-22
-39.2347,-72.09658,0.0,2026-08-22
-39.2347,-72.09315,0.0,2026-08-22
-39.2347,-72.08973,0.0,2026-08-22
-39.2347,-72.0863,0.0,2026-08-22
-39.2347,-72.08288,-7e-05,2026-08-22
-39.2347,-72.07945,0.0,2026-08-22
-39.2347,-72.07603,0.0,2026-08-22
-39.2347,-72.0726,0.0001,2026-08-22
-39.2347,-72.06918,0.0,2026-08-22
-39.2347,-72.06575,0.0004,2026-08-22
-39.2347,-72.06233,0.0001,2026-08-22
-39.2347,-72.0589,0.0,2026-08-22
-39.2347,-72.05548,0.0,2026-08-22
-39.2347,-72.05205,0.0,2026-08-22
-39.2347,-72.04863,0.0,2026-08-22
-39.2347,-72.04521,-9e-05,2026-08-22
-39.2347,-72.04178,-2e-05,2026-08-22
-39.2347,-72.03836,-2e-05,2026-08-22
-39.2347,-72.03493,0.0,2026-08-22
-39.2347,-72.03151,-6e-05,2026-08-22
-39.2347,-72.02808,-2e-05,2026-08-22
-39.2347,-72.02466,0.0,2026-08-22
-39.2347,-72.02123,-4e-05,2026-08-22
-39.2347,-72.01781,0.0,2026-08-22
-39.2347,-72.01438,0.0,2026-08-22
-39.2347,-72.01096,0.0,2026-08-22
-39.2347,-72.00753,0.0,2026-08-22
-39.2347,-72.00411,0.0,2026-08-22
-39.2347,-72.00068,0.0,2026-08-22
-39.2347,-71.99726,-6e-05,2026-08-22
-39.2347,-71.99384,0.0,2026-08-22
-39.2347,-71.99041,-2e-05,2026-08-22
-39.2347,-71.98699,0.0,2026-08-22
-39.2347,-71.98356,0.0,2026-08-22
-39.2347,-71.98014,0.0,2026-08-22
-39.2347,-71.97671,0.0,2026-08-22
-39.2347,-71.97329,0.0,2026-08-22
-39.2347,-71.96986,0.0,2026-08-22
-39.2347,-71.96644,-0.00131,2026-08-22
-39.2376,-72.18904,-0.00017,2026-08-22
-39.2376,-72.18562,0.0,2026-08-22
-39.2376,-72.18219,0.0,2026-08-22
-39.2376,-72.17877,-2e-05,2026-08-22
-39.2376,-72.17534,-0.00013,2026-08-22
-39.2376,-72.17192,0.0007,2026-08-22
-39.2376,-72.16849,0.0003,2026-08-22
