station_id,anchor_date,target_date,horizon_days,fai_q10,fai_q50,fai_q90,n_pixels,alert_threshold
norte,2026-01-19,2026-01-24,5,-0.001476434932821558,1.7672716492074617e-05,0.0015455340303676408,25,0.00381
tolten,2026-01-19,2026-01-24,5,-0.0024857808245407477,-0.0003730669264061685,0.001455029609883687,25,0.00381
sur,2026-01-19,2026-01-24,5,-0.001908516722539656,-0.00035957093382256965,0.0010980608412779855,25,0.00381
lake,2026-01-19,2026-01-24,5,-0.0029322881816892135,-0.0008779122578250741,0.0008308818967534338,224,0.00381
pucon,2026-01-22,2026-01-29,7,-0.004669834411469082,0.0003302122003607469,0.003214779594843249,25,0.00381
norte,2026-01-22,2026-01-29,7,-0.0005458959881881286,0.0006341479140903862,0.0016589215096869472,25,0.00381
tolten,2026-01-22,2026-01-29,7,-0.003445800019705,-0.0009636383160705747,0.0016280819796857555,25,0.00381
sur,2026-01-22,2026-01-29,7,-0.003619308476697075,0.002274400689757554,0.0052347323888864,25,0.00381
lake,2026-01-22,2026-01-29,7,-0.0016313196080660981,0.00011681329618703815,0.00145172976692329,1839,0.00381
pucon,2026-01-24,2026-02-01,8,-0.003665974530383997,0.0006548088451175972,0.0032492494781124885,25,0.00381
norte,2026-01-24,2026-02-01,8,-0.003833709032268769,0.0008524744291867288,0.003636562107094534,25,0.00381
tolten,2026-01-24,2026-02-01,8,-0.0035793594756731457,0.0004954621346792419,0.003078761078421622,25,0.00381
sur,2026-01-24,2026-02-01,8,-0.003900417295468871,0.00043815252505881064,0.0030464807098650754,25,0.00381
lake,2026-01-24,2026-02-01,8,-0.0033078990215049476,-7.323074970781359e-05,0.001971645462965071,224,0.00381
pucon,2026-01-29,2026-02-06,8,-0.005376183818946386,-0.0004667255018936356,0.0025843436298235516,25,0.00381
norte,2026-01-29,2026-02-06,8,-0.0011416507555519096,0.00012816473995453759,0.001488343101534037,25,0.00381
tolten,2026-01-29,2026-02-06,8,-0.004837774774402723,-0.0016285405043255962,0.0013838161214999808,25,0.00381
sur,2026-01-29,2026-02-06,8,-0.004234646173712156,0.001517935910013962,0.004530242315291718,25,0.00381
lake,2026-01-29,2026-02-06,8,-0.0025820548540038263,-0.000573352447060984,0.0011332646884808033,1841,0.00381
pucon,2026-02-01,2026-02-06,5,-0.004209867594940357,-0.0003167031629063184,0.002525393413572802,25,0.00381
norte,2026-02-01,2026-02-06,5,-0.0008617770932045636,0.00015716939832758364,0.001335500240960813,25,0.00381
tolten,2026-02-01,2026-02-06,5,-0.0035705473413635267,-0.0010330928477542097,0.002226719357198224,25,0.00381
sur,2026-02-01,2026-02-06,5,-0.0039905609126273415,0.0028467618158096644,0.008435755525708577,25,0.00381
lake,2026-02-01,2026-02-06,5,-0.0021071695897859144,-0.00033267108705199017,0.001252450329126135,1842,0.00381
pucon,2026-02-06,2026-02-13,7,-0.003987715960083602,0.00012511673815765456,0.0027551081789658678,25,0.00381
norte,2026-02-06,2026-02-13,7,-0.0005224690828032832,0.0005170028017429802,0.0014658629024826028,25,0.00381
tolten,2026-02-06,2026-02-13,7,-0.002653972501894446,-0.0007049628982521868,0.0023075342938532533,25,0.00381
sur,2026-02-06,2026-02-13,7,-0.0032297850560539898,0.0019008723804403676,0.006203971705064138,25,0.00381
